nconst,primaryName,birthYear,deathYear,primaryProfession,knownForTitles
nm1457668,Bugsy,\N,\N,actor,"tt0145400,tt0312528,tt0266489,tt0802999"
nm7803089,Joseph Sawick Jr.,\N,\N,,tt1772281
nm0245623,Anat Dychtwald,\N,\N,actress,"tt0237123,tt0228502"
nm5094369,Louise Kay,\N,\N,actress,"tt2196670,tt2506748,tt5816514,tt2147416"
nm0879525,Peter Törnblom,\N,\N,music_department,tt0118463
nm8332965,Van Brown,\N,\N,producer,tt5791600
nm5037401,Barrel Akiyama,\N,\N,miscellaneous,tt2147390
nm2883829,Michael Tai,\N,\N,"visual_effects,editor,production_manager","tt0183341,tt0465676,tt2413192"
nm10360884,Aiko Kuramoto,\N,\N,production_designer,tt9437152
nm8166897,Satko Mujagic,\N,\N,,tt5574800
nm7964022,Shay,\N,\N,actress,tt5044344
nm6315870,Rey Boemi,\N,\N,cinematographer,tt3648280
nm3070978,K.C. Ladnier,\N,\N,sound_department,"tt0264365,tt0457275,tt0264605,tt0355364"
nm1106756,Gord Zubreki,\N,\N,actor,"tt0117679,tt0154100"
nm5237169,Raja,\N,\N,actor,tt2358074
nm0701755,Valtteri Pääkkönen,\N,\N,"actor,camera_department,special_effects","tt0399336,tt0127559,tt0127591,tt0803023"
nm5685428,Lebrado Alirez,\N,\N,actor,tt2140395
nm4070389,Yiran Xu,\N,\N,"special_effects,animation_department,miscellaneous","tt1722496,tt7361212,tt1978598"
nm9440322,Govind Singh Bisht,\N,\N,actor,tt7668800
nm2004818,Dick Fontaine,\N,\N,"director,producer,miscellaneous","tt1134856,tt1604199,tt1708468,tt2294817"
nm7156497,Bob Mann,\N,\N,composer,tt0253358
nm2576978,Ross David,\N,\N,make_up_department,"tt0408070,tt0419253,tt0375958,tt1827831"
nm3019512,Dan Rockmore,\N,\N,,tt1235714
nm0490359,Fred Latremouille,1945,2015,actor,"tt0085747,tt0079520,tt0080516,tt8264526"
nm3628212,Patty Soldo,\N,\N,actor,tt1517655
nm0107844,Francisco Bretas,\N,\N,actor,"tt0136748,tt0391321,tt0832515,tt0286336"
nm1907988,Katie Swain,\N,\N,"miscellaneous,producer,writer","tt1121786,tt1949012,tt2402207"
nm8360940,Gustavo García Sierra,\N,\N,"camera_department,director,writer","tt4964788,tt5774660,tt5965662,tt6450804"
nm8554554,Michele Werneck,\N,\N,actress,tt6209526
nm3239961,Logan Olson,\N,\N,"special_effects,art_department","tt1377521,tt0981224"
nm2421355,Subhash Raul,\N,\N,camera_department,tt0346457
nm5047221,Nicholas Atanasoff,\N,\N,"director,assistant_director,writer","tt2630048,tt5144666,tt3009126,tt2146218"
nm3916276,Greg Colbrook,\N,\N,actor,tt0074653
nm3042420,Hal G. Rosenbluth,\N,\N,producer,"tt0445900,tt7087030"
nm6315896,Jon Smith,\N,\N,miscellaneous,tt0392042
nm9870142,Hunter Sipes,\N,\N,,tt1587934
nm5971077,Josh West,\N,\N,"writer,actor","tt3212756,tt4319464,tt6238084,tt3212728"
nm1365753,Christophe Colomer,\N,\N,"production_designer,art_department","tt0106042,tt0267165,tt0117544,tt0240149"
nm4804892,Kiran Kanekal,\N,\N,actor,tt2131690
nm9125104,Mario Svirsky,\N,\N,actor,tt5117114
nm5369998,Danny Jaka Sembada,\N,\N,"writer,assistant_director","tt9231140,tt2404241"
nm8522184,Aleksandr Zavyalov,\N,\N,,tt0866613
nm0189604,Betty Crowe,1927,2014,"miscellaneous,assistant_director","tt0094537,tt0240285,tt0088609,tt0124809"
nm1478697,Paul Nakauchi,\N,\N,actor,tt7042146
nm2466099,Peter Rampfel,\N,\N,actor,"tt0163447,tt0328731,tt0073813"
nm0239364,Mirtha Dabner,\N,\N,actress,"tt0058643,tt0055138,tt0144861,tt0198372"
nm0841795,Gary Swanson,1948,\N,"actor,producer","tt0084861,tt0145681,tt0173957,tt0091933"
nm4548622,Sita,\N,\N,actress,tt1995257
nm8283983,Annika Knoche,\N,\N,actress,tt5878656
nm4259652,Lee Soon Jik,\N,\N,visual_effects,"tt0179596,tt0213377"
nm1573199,Lewis Logan,\N,\N,"production_designer,art_director","tt0157218,tt0081851,tt0164295,tt0063932"
nm5136682,Darin Smalling,\N,\N,,tt2218466
nm6486753,Keith Brazier,\N,\N,sound_department,tt1924394
nm0384779,Ángela R. Hill,\N,\N,actress,tt0057188
nm9328685,Trevor Crawford,\N,\N,actor,tt6494490
nm0307591,Lukasz Garlicki,1977,\N,actor,"tt1331277,tt0300406,tt1901024,tt1783244"
nm2941405,Barton Clennon,\N,\N,producer,tt1194574
nm9432374,Eva Friebel,\N,\N,actress,"tt7653954,tt7654552,tt7657596"
nm8298515,Inci Seyrek,\N,\N,actor,tt5894770
nm7232369,Teresa Bonner,\N,\N,producer,tt4569160
nm9850020,Jose Ibañez,\N,\N,,tt8437838
nm8491246,Jung Inbong,\N,\N,"director,writer","tt8542154,tt6127140"
nm10695131,Salma Chafii,\N,\N,producer,"tt10912894,tt10334136"
nm6444934,Sophie Sanchez,\N,\N,location_management,tt3233156
nm5148933,Cindy Ong,\N,\N,actor,tt2252110
nm4615623,Ryan Burian,\N,\N,"actor,sound_department","tt5306146,tt2018096"
nm11262948,Thomas E. Aalerud,\N,\N,miscellaneous,tt0276654
nm1245441,Lucas Olivera,1978,\N,actor,"tt0315850,tt0354533"
nm8469369,Joana Peralta,\N,\N,,"tt7708164,tt6097278,tt8316274,tt7986650"
nm0302567,Kelly Gallant,\N,\N,actress,"tt0114582,tt0105530,tt0108277"
nm1284078,Ugo Piermarini,\N,\N,actor,tt0342890
nm3360345,Angela Santorelli,\N,\N,transportation_department,tt0140337
nm1138214,Kerrie Souster,\N,\N,actress,tt0293113
nm0121551,Jim Burk,1932,2009,"stunts,actor","tt0084726,tt0082198,tt0071315,tt0086837"
nm0627480,Sarah Neville,\N,\N,actress,"tt0099053,tt0103926,tt0112441,tt0115291"
nm7720350,John Wilde,\N,\N,actor,"tt10473238,tt6528564,tt6270566,tt5191006"
nm5769811,Roger Lapuente,\N,\N,"director,writer,cinematographer",tt3009230
nm5256659,Todd Atwell,\N,\N,miscellaneous,tt2293638
nm2619021,Nicolas Proulx,\N,\N,miscellaneous,"tt0409673,tt1286159"
nm0424851,Dale Johnson,\N,\N,editor,tt0062890
nm5955773,Kristopher Stiles,\N,\N,,tt3197964
nm5158379,Giuseppe Dimarco,\N,\N,actor,tt1571402
nm0441079,Imre Kaszás,\N,\N,actor,"tt0102762,tt0193547,tt8689176,tt0267539"
nm4882865,José Manuel Gómez,\N,\N,casting_director,"tt1945034,tt1394151"
nm4563965,Stuart Knight,\N,\N,"miscellaneous,writer,script_department","tt0167260,tt2015422"
nm7215645,David Saperstein,\N,\N,actor,"tt4519014,tt4916364"
nm1703846,Linda Zufall,\N,\N,producer,tt0364664
nm2289886,Karl Futrell-Fruhling,\N,\N,actor,tt0815235
nm1372453,Vanessa Willenzik,\N,\N,actress,tt0127370
nm3833299,William Daniel,\N,\N,camera_department,"tt1270838,tt1613138"
nm1885512,Bhim Singh,\N,\N,art_department,tt0074949
nm7359070,Baruch Gutman,\N,\N,"writer,cinematographer,animation_department","tt4833568,tt1608516,tt4690080"
nm9354201,Marquese Martin-Hayes,\N,\N,actor,tt6779938
nm3317108,Jaime Estrella,\N,\N,camera_department,"tt1213639,tt1314843,tt1417579"
nm3342308,Yongqing Zhong,\N,\N,"production_designer,actor",tt0098946
nm5143785,Alessandra Morales-Gunz,\N,\N,writer,tt2251222
nm3087181,Francesca Dymond,\N,\N,actress,"tt0088621,tt0943690,tt0088512,tt4385236"
nm10860700,Hassen Doss,\N,\N,actor,"tt10462544,tt11192624,tt11909342,tt11219232"
nm5713930,Kevin Kain,\N,\N,"camera_department,actor,director","tt7714802,tt9714030,tt4792480,tt5615280"
nm3964534,Joyce Crandall,\N,\N,actress,"tt0774702,tt1717191"
nm0822911,John Staples,\N,\N,"stunts,actor,transportation_department","tt0097889,tt0090168,tt0162735,tt0089839"
nm8634359,Sylvie Bau,\N,\N,actress,tt6319346
nm0462544,Ales Kocian,1965,\N,"make_up_department,miscellaneous","tt0182408,tt0182306,tt0108027,tt0108265"
nm2661534,Bagus Santoso,\N,\N,actor,"tt8352044,tt1031639,tt1142404,tt0337177"
nm0853925,Mats Tegner,\N,\N,art_department,"tt0102006,tt0102166,tt0102630"
nm4077371,Elisabeth Dillon,\N,\N,actress,tt1714155
nm8487783,Cristina Carrión Márquez,\N,\N,visual_effects,"tt3040964,tt3896100"
nm8267195,Jai Singh,\N,\N,actor,tt5861302
nm4097478,Inger Alette Thaugland,\N,\N,actress,tt1227804
nm6810225,Leticia Armajach,\N,\N,"assistant_director,producer","tt5029630,tt4078074"
nm2353163,Jett Pangan,\N,\N,"actor,soundtrack","tt7284466,tt8367090,tt0856200,tt0478701"
nm4713329,Pam Saavedra,\N,\N,"production_designer,set_decorator","tt2079501,tt4042118"
nm0810421,Hallie Smith-Simmons,\N,\N,make_up_department,"tt0078740,tt0084316,tt0089496,tt0079550"
nm8979475,Michael Ruhs,\N,\N,actor,"tt12092286,tt11585506,tt6868516"
nm6505188,Olivia Requat,\N,\N,"assistant_director,producer,script_department","tt4584550,tt4737784"
nm2817787,Nathan Raynes,\N,\N,actor,tt1132183
nm0668117,Glenn Paxton,\N,\N,"composer,soundtrack","tt0069496,tt0088478,tt0202179,tt1012950"
nm8967520,Connor Holtz,\N,\N,actor,tt6870350
nm0954880,Dorle Zenker,\N,\N,actress,tt0122439
nm8956411,Takaki Soya,\N,\N,,"tt6883952,tt6850884"
nm11136160,Irine Erani,\N,\N,,"tt8086414,tt10538846"
nm4068720,Frank Dennis,\N,\N,,tt1016164
nm7191359,Dave Bell,\N,\N,actor,tt4524636
nm4559376,You Bin,\N,\N,"cinematographer,camera_department","tt1754564,tt1996316"
nm5382271,Natalie Pulliam,\N,\N,actress,tt2505776
nm6635233,Thomas Baker,\N,\N,actor,tt3867896
nm0867809,Torain,\N,\N,actress,tt0079321
nm9925388,Daniel Boyle,\N,\N,"animation_department,producer","tt7397288,tt1523584"
nm3299707,James Card,\N,\N,"actor,director,editor","tt2843922,tt5741184,tt4449328,tt6981200"
nm1369372,Josh Talbot,\N,\N,"writer,actor","tt0118484,tt0115349,tt0108724"
nm2651736,Hein de Vos,\N,\N,"camera_department,cinematographer,stunts","tt4898282,tt1648190,tt3181776,tt1136608"
nm8692619,Patrick Slattery,\N,\N,,tt6396122
nm5221746,Fletcher Cox,1990,\N,,"tt11621622,tt3128584,tt6505332,tt8077544"
nm7976336,Vishal Sharma,\N,\N,actor,tt5525846
nm4249435,Blake Hegna,\N,\N,actor,tt1807075
nm9781199,Andreas Gressmann,\N,\N,,tt8295090
nm1122725,Kirk Larsen,\N,\N,"actor,special_effects,art_director","tt1337566,tt1409024,tt7369734,tt0298865"
nm1899401,Paula Burd,\N,\N,camera_department,"tt0426162,tt0483556"
nm3204641,Oskar Persson,\N,\N,"actor,soundtrack",tt1087851
nm1887164,Jiongjia Li,\N,\N,writer,tt0453317
nm9007533,Carlson Disla,\N,\N,editor,tt4781664
nm9241436,Pietro Carbonaro,\N,\N,"writer,producer,actor","tt7839270,tt7717020,tt8071770,tt7318292"
nm4744780,Clavon Snowden,\N,\N,"camera_department,miscellaneous","tt2073695,tt2095629"
nm5123211,Barbra Barbeau,\N,\N,"producer,sound_department","tt7130126,tt2225708"
nm3893597,Steve Eberhardt,\N,\N,art_department,tt1579313
nm3054722,Igor Chpiliotoff,\N,\N,cinematographer,tt1249387
nm6431460,Jeff Randy,\N,\N,actor,tt1339050
nm5047838,Bill Reilly,\N,\N,"visual_effects,editor,music_department",tt2198675
nm5249748,Ben Holder,\N,\N,miscellaneous,tt0120495
nm10157375,János Káró,\N,\N,miscellaneous,tt0054432
nm5726542,Eddie Chico Thomas-Ponce,\N,\N,camera_department,tt2976028
nm7954360,Nick,\N,\N,editor,tt5501974
nm4679982,Audrey Emerson,\N,\N,"producer,director,actress","tt4937916,tt4653808,tt9023520,tt4460330"
nm0197558,Oleg Dal,1941,1981,"actor,soundtrack","tt0073442,tt0130188,tt0079750,tt0064553"
nm5566943,Amy Rasheedah Kelly,\N,\N,"writer,producer","tt6054730,tt8386344,tt10636832,tt8922836"
nm0289731,David Frame,\N,\N,"editor,sound_department,editorial_department","tt0263235,tt4916682,tt0284498,tt0094869"
nm6811991,Vanessa Hanson,\N,\N,,"tt4572042,tt5528028,tt4067972,tt9246600"
nm5625430,Rhys McCoy,\N,\N,actor,"tt2979842,tt2304426"
nm1413399,Nick Serpe,\N,\N,actor,tt0373812
nm7996920,Britt,\N,\N,actress,tt5044344
nm2193568,James Hackett,\N,\N,camera_department,"tt0024151,tt0037256,tt0036126"
nm5209307,Kate Hogan,\N,\N,miscellaneous,tt2332670
nm0904706,Otakar Vávra,1911,2011,"writer,director,miscellaneous","tt0069982,tt0064546,tt0169406,tt0060910"
nm4604686,Lois Amber Toole,\N,\N,"actress,writer","tt2321596,tt1693592,tt8400758,tt1894614"
nm1067033,Tino Crvelin,\N,\N,actor,tt0079659
nm2055770,Paula Merril-Belak,\N,\N,"location_management,producer","tt0412117,tt0867334,tt0359423,tt0346423"
nm9908180,Federico Carnevali,\N,\N,director,tt8558286
nm4510622,Danièle Fouché,\N,\N,miscellaneous,tt0135011
nm0876059,Phil Tuckett,\N,\N,"director,producer,editor","tt1714828,tt0331574,tt1726747,tt0860419"
nm0476166,Jeff Kurzner,\N,\N,"costume_department,miscellaneous","tt0118745,tt0119580,tt0119796"
nm2032759,Pete Fenton,\N,\N,actor,tt0477587
nm3916205,Dan Churchill,\N,\N,visual_effects,"tt1478964,tt1375666,tt0988045,tt2798920"
nm2609295,Brian Daigle,\N,\N,"camera_department,cinematographer","tt1001490,tt1213636,tt0430770,tt0901476"
nm11416785,Alyosha Kuznetsov,\N,\N,actor,tt0174616
nm0226903,Tracey Dilley,\N,\N,make_up_department,"tt0108826,tt0092479,tt0098898,tt0101142"
nm3672686,G. Andresakis,\N,\N,actor,tt1538302
nm4318100,Pawel Kwasniewski,\N,\N,"producer,director,actor","tt1841791,tt3529158,tt4620156,tt3850910"
nm2096408,Doran Chandler,\N,\N,"miscellaneous,producer,actor","tt0887912,tt1381404,tt0457572,tt1160996"
nm2884073,Ngan-Ying Poon,\N,\N,"actress,costume_department,costume_designer","tt0311792,tt0104553,tt0096078,tt0237501"
nm2703361,Charlie Biel,\N,\N,miscellaneous,tt1058524
nm3057666,Ian Dunn,\N,\N,"actor,miscellaneous",tt1252482
nm8767420,Rhyah Sheedy,\N,\N,make_up_department,"tt10865160,tt6671854,tt6487758"
nm10374789,Steven Christie,\N,\N,actor,tt9547808
nm0168991,Thierry Cofrade,\N,\N,actor,tt0129893
nm6899470,Marie Marini,\N,\N,make_up_department,tt0093054
nm11286748,Tahir Shehzad,\N,\N,actor,tt11461028
nm5163640,Maciej Fronal,\N,\N,camera_department,tt2275600
nm1090988,Prezes,\N,\N,,tt0301043
nm4756546,William Ramsey,\N,\N,,tt2090141
nm0561885,Catherine May,\N,\N,"miscellaneous,producer,actress","tt0340109,tt1925327,tt0253831,tt1925189"
nm6097922,Romei Hinds,\N,\N,actor,tt3333472
nm3702712,Helen Wong,\N,\N,producer,tt1553321
nm7882462,Sergio Gonzalez,\N,\N,"cinematographer,editor",tt5376456
nm9947623,Marie Goulet-Raffety,\N,\N,actor,tt8651280
nm5366482,David Tsai,\N,\N,miscellaneous,tt2428184
nm3335964,Tiffany Yarbrough,\N,\N,miscellaneous,tt1364277
nm8653029,Jeyhun Khalil,\N,\N,producer,tt6344722
nm11331724,Dragonfly Uas,\N,\N,camera_department,tt7708956
nm3574633,Biagio DeSimone,\N,\N,actor,tt1401236
nm4114788,Christina Sattmann,\N,\N,"art_department,miscellaneous,cinematographer","tt5768208,tt1218659,tt1263718,tt1312552"
nm4130181,Eloise Quintanilla,\N,\N,miscellaneous,"tt0146386,tt1569544"
nm5139661,Francesco Crino,\N,\N,sound_department,tt2247940
nm5778499,Weiguo Yu,\N,\N,camera_department,tt5039340
nm9676006,Semih Demir,\N,\N,costume_department,"tt7932896,tt8098348"
nm3606663,Alexandre Prefontaine,\N,\N,actor,"tt1534994,tt0790602,tt8715278,tt0475207"
nm6208553,Michael King,\N,\N,art_department,tt3453512
nm3612954,Kanto Rao,\N,\N,actor,"tt3817852,tt1510860"
nm9494924,Zhaotao Jia,\N,\N,production_manager,tt8734578
nm0060827,Heriberto G. Batemberg,\N,\N,actor,tt0166700
nm1320093,Louis-Albert Serrut,\N,\N,"producer,director,writer","tt0088878,tt5154180,tt0198673,tt0296831"
nm1890755,Sôichirô Kawano,\N,\N,sound_department,"tt0322968,tt0284110"
nm8628997,Chris Mullen,\N,\N,transportation_department,tt5651844
nm6857681,Sortega,\N,\N,actor,tt4135766
nm5800197,Roopashree,\N,\N,actress,"tt10339970,tt3043922"
nm10683786,Tan Tranh Nguyen,\N,\N,actor,tt1328968
nm9967090,Bobbie Peterson,\N,\N,actress,"tt8110232,tt8965666,tt9606374,tt7740496"
nm1373305,Tim Horsely,\N,\N,art_department,tt0198284
nm3997804,The Streets,\N,\N,"soundtrack,actor,composer","tt0385705,tt1966385,tt0435680,tt1658820"
nm6432655,Françoise Mélot,\N,\N,"director,writer",tt3671832
nm9946949,Suman Giri,\N,\N,"producer,production_designer","tt6160932,tt8393764"
nm8744526,Nate Flanders,\N,\N,,tt2624636
nm5712421,Navid Taheri,\N,\N,camera_department,tt2963090
nm2699769,Carolina Cesario,\N,\N,"director,writer",tt1059913
nm10287012,Jay Laeno,\N,\N,,tt9346946
nm3073107,Dennis Parsons,\N,\N,,tt1261412
nm7730370,Mao Shing Ni,\N,\N,,"tt2231696,tt5201994"
nm0515010,Sai-Wan Lau,\N,\N,"production_designer,art_director,art_department","tt2238032,tt3816526,tt1847713,tt0808357"
nm8194285,Jak Norwood,\N,\N,"producer,miscellaneous","tt6180182,tt4532812,tt7331246,tt4532616"
nm0580303,Sam Mercer,\N,\N,"producer,location_management,production_manager","tt0217869,tt3691740,tt0286106,tt0112715"
nm8180433,Joe Neeson,\N,\N,art_department,tt0944947
nm5176327,Johannys Montes de Oca,\N,\N,,tt2292188
nm9102622,Ewald Gôdersmann,\N,\N,camera_department,tt7087382
nm0430474,Jose,\N,\N,director,tt0275649
nm3020895,Max Wilson,1986,\N,"cinematographer,camera_department","tt1229819,tt4083200,tt1340620"
nm1525429,Jean-Luc Verna,\N,\N,"actor,make_up_department,costume_department","tt0173602,tt0165446,tt3431806,tt8010302"
nm2375781,Malcolm Muir Jr.,\N,\N,,"tt0199248,tt0482401"
nm1012165,Sven Sestak,1974,\N,actor,"tt0289360,tt1305794,tt0329512,tt0483754"
nm8608439,Ion Alexe,\N,\N,"actor,production_manager","tt0059090,tt0069978"
nm4776015,A.J. Merlin,\N,\N,"actor,producer,script_department",tt2124946
nm3943936,Jean-Marie Belloteau,\N,\N,"cinematographer,camera_department,editorial_department","tt3662270,tt5192182,tt3380286,tt2231351"
nm5103547,Abhijit Sarkar,\N,\N,assistant_director,tt1542871
nm1507955,Scott Jasper,\N,\N,actor,"tt0382477,tt0450320"
nm0571466,Brendan McKensy,1985,\N,actor,"tt0098896,tt0094481,tt0139765,tt0118270"
nm8232023,Katie Lucht,\N,\N,producer,tt0231035
nm3571388,Louise Black,\N,\N,,"tt1302113,tt0437741"
nm4612138,Russ Cameron,\N,\N,producer,tt1986265
nm10136588,Jim Brosnan,\N,\N,music_department,tt6968704
nm10303551,Pablo Villaseñor,\N,\N,camera_department,tt9382138
nm1740285,Edward Lucas,\N,\N,director,tt0245916
nm3588853,Mark Howard,\N,\N,make_up_department,tt0086340
nm6012138,Danny Diaz,\N,\N,,tt0278229
nm1722888,Valeene Calkins,\N,\N,actress,tt0030392
nm0863864,Giulio Tincu,1923,1978,"production_designer,costume_designer,set_decorator","tt0157336,tt0058439,tt0141784,tt0126960"
nm8171219,Taylor A. Williams,\N,\N,actor,tt2523832
nm10852735,Rainy Kala,\N,\N,visual_effects,tt6105098
nm1006355,José Pulido,\N,\N,actor,tt0078446
nm0450239,Robert Keslow,1960,\N,"camera_department,producer","tt0099364,tt0091603,tt0099747,tt0089730"
nm7910112,Amber Morrey,\N,\N,actress,tt4158318
nm3663973,Ashlea Sherman,\N,\N,actress,tt1534002
nm8924430,Ron Teufel,\N,\N,,tt2455686
nm4248519,Robert Kampa,1983,\N,actor,"tt0262975,tt0439389,tt0389670,tt1808045"
nm11352525,Keith Meinhold,\N,\N,,tt0303459
nm0435912,Adrian Kalitka,\N,\N,actor,tt0084707
nm4751163,Maddie Richhart,\N,\N,"actress,miscellaneous","tt2098773,tt2230654"
nm5779967,Yana Karin,\N,\N,"director,producer,camera_department","tt2481480,tt8101758,tt3786190,tt5142438"
nm7537342,Françoise Dubois,\N,\N,,tt4946364
nm9130588,Edgar Gonzales,\N,\N,actor,tt7130014
nm1092763,Veronika Radó,\N,\N,actress,tt0030399
nm7028283,Manuel Baez,\N,\N,actor,tt4324452
nm10966630,Jeremy Christian,\N,\N,"writer,producer","tt11574936,tt0472989,tt11563294"
nm6372023,Matthew Poncelow,\N,\N,art_department,tt2818348
nm6783832,Frédéric Amerigo,\N,\N,actor,tt4050504
nm5208700,Suresh,\N,\N,make_up_department,tt0232734
nm6572297,Santiago López Gómez,\N,\N,"miscellaneous,assistant_director","tt4878840,tt3532216,tt2791026,tt2443822"
nm1044490,Lynn Barker,\N,\N,"writer,miscellaneous","tt0075585,tt0085110,tt0088634,tt0106145"
nm4358474,James Currie,\N,\N,actor,tt0101175
nm8465256,Emma Regada,\N,\N,art_department,"tt8509526,tt6079382"
nm8561444,Alejandra Alvarez,\N,\N,animation_department,tt6217970
nm5887473,Nicola Taffertshofer,\N,\N,,tt3130424
nm10221224,Nina Hu,\N,\N,actor,tt9099982
nm3416064,Justin Niemiec,\N,\N,composer,tt1419481
nm9403042,Desmond McIntyre,\N,\N,"writer,director,editor","tt8646458,tt7608682"
nm2832079,Alex D'Cunha,\N,\N,camera_department,tt0238936
nm8721846,Nuala Maguire,\N,\N,actress,tt9856236
nm2561275,Jorge Chança,\N,\N,"miscellaneous,stunts,actor","tt0310029,tt3075596,tt0495669,tt1274640"
nm3303548,Vic Pajares,\N,\N,miscellaneous,tt0474931
nm0840265,Janine Sutto,1921,2017,actress,"tt0038010,tt0833595,tt0065632,tt0065891"
nm0143335,Alfredo Casero,1962,\N,"actor,writer,soundtrack","tt0456246,tt0267490,tt0204110,tt0362582"
nm1317008,Ling Ji,\N,\N,actress,"tt0351136,tt4054762,tt0354911"
nm5608830,Alexander Brovedani,\N,\N,"actor,writer,producer","tt11230712,tt3486834,tt5057832,tt8633888"
nm0683985,Richard Pine,\N,\N,"art_department,actor,miscellaneous","tt0106843,tt0107659,tt0084464,tt0085380"
nm0563530,Dawn Mazzella,\N,\N,"stunts,actress","tt0093286,tt0100475,tt0107597,tt0098649"
nm7473191,Rafael Mattielo,\N,\N,camera_department,"tt4878000,tt5569236"
nm2625718,Uli Breme,\N,\N,director,tt1017940
nm1880573,Kathy Forrest,\N,\N,miscellaneous,tt0244841
nm7906800,Tonya Herron,\N,\N,miscellaneous,tt0396321
nm0213743,Alexia Dechamps,1968,\N,actress,"tt0143051,tt0138277,tt0235920,tt0144043"
nm6097242,Nick Griemsmann,\N,\N,,"tt0166442,tt1943174,tt0344647,tt0184090"
nm3925186,Sandy Lowe,\N,\N,actress,tt1663956
nm5723547,Kinneret Barashi,\N,\N,,tt2972660
nm11112028,Furgus,\N,\N,,tt3876658
nm7601136,Allison Miller,\N,\N,,tt5046610
nm8263947,Edouard Leblanc Barbedienne,\N,\N,"art_department,camera_department",tt5720502
nm6557344,George Altschul,\N,\N,actor,tt0087592
nm1499575,Piotr Kmiecik,1976,\N,editor,"tt6421366,tt9121954,tt0982939,tt4048942"
nm9426604,Craig Nahale,\N,\N,actor,tt5304664
nm0622035,Joe Naster,\N,\N,actor,tt0035802
nm6488274,Josh Dean,\N,\N,actor,tt3724220
nm8757066,Tabita Baggesen,\N,\N,director,tt6498760
nm2361295,Lars Wadehn,\N,\N,"producer,assistant_director","tt5161842,tt7675148,tt1560363,tt7172670"
nm2888682,Brandon Colvin,\N,\N,music_department,tt0473692
nm1309311,Julieta Arriaga,\N,\N,costume_department,tt0163452
nm6054229,Grace Fong,\N,\N,miscellaneous,tt0218475
nm4685707,Nick S. Trani,\N,\N,miscellaneous,"tt0039391,tt0037534"
nm1910074,Skippy Hunter,\N,\N,actress,tt0251214
nm5532322,Max Randall,\N,\N,actor,tt2718480
nm2073913,Ron Amador,\N,\N,,tt0077362
nm6659891,Liza Koval,\N,\N,actress,tt3894510
nm8702396,Zaida Diaz,\N,\N,producer,tt5389644
nm3183333,Michal Bulik,\N,\N,"director,actor,writer","tt0441074,tt1318008"
nm3614406,Jim Casazza,\N,\N,actor,tt1512214
nm10831350,Stefan Nehring,\N,\N,,tt2081921
nm5030763,Razaq Sahibjahn,\N,\N,"location_management,actor","tt2717822,tt1242543,tt3706628"
nm6496544,Per Ottar Bjørdalsbakke,\N,\N,actor,tt3731516
nm5541477,Karen Dadey,\N,\N,"actress,producer","tt3434098,tt3152202,tt1856010,tt2908172"
nm1384325,Êvelyne Cailly,\N,\N,actress,tt0122444
nm3673903,Jenny Strain,\N,\N,camera_department,tt0375782
nm0511028,Lucas Orlando Linares,\N,\N,miscellaneous,tt0117069
nm8872340,Nilay Samiran Nandi,\N,\N,"director,writer,actor","tt6688748,tt8066300,tt8375680,tt7694802"
nm3381078,Clogs,\N,\N,"music_department,soundtrack","tt1682181,tt0811128"
